event_id,fecha_inicio,fecha_fin,nombre_evento,categoria,subcategoria,ambito,ubicacion,proximidad_la_roca,impacto_esperado,intensidad_sugerida,direccion_demanda,franja_probable,segmento_cliente,confianza_fecha,estimado,feature_sugerida,fuente_tipo,source_url,notas_modelado
EVT_0011,2025-12-05,2025-12-08,Puente Constitucion-Inmaculada,calendario_social,puente,Espana / Comunidad de Madrid,Pozuelo / Madrid,alta,medio,2,mixto,"comida,cena","familias,residentes,visitantes",alta,0,puente_diciembre,regla_calendario,regla_calendario_estandar,Puente largo por 6 y 8 de diciembre; posible salida de residentes y comidas de ocio.
EVT_0012,2025-12-05,2026-01-05,Programacion Navidad en Pozuelo,evento_local_cultural,navidad,Pozuelo,Diferentes ubicaciones municipales,media,medio,2,aumenta,"tarde,cena,fin_de_semana","familias,residentes",alta,0,navidad_pozuelo,oficial,https://www.pozuelodealarcon.org/navidad-en-pozuelo-2025,Actividades navidenas municipales; relevante para trafico familiar y ocio local.
EVT_0013,2025-12-09,2025-12-10,Champions League 2025/26 - jornada 6,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0014,2025-12-20,2026-01-07,Vacaciones escolares de Navidad,calendario_escolar,vacaciones,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,alta,mixto,0,mixto,"comida,tarde,cena","familias,ninos,residentes",alta,0,vacaciones_escolares_navidad,oficial,https://www.comunidad.madrid/educacion/calendario-escolar,Periodo no lectivo navideno. Puede aumentar comidas familiares y disminuir dias laborales.
EVT_0015,2025-12-24,2025-12-24,Nochebuena,calendario_social,fecha_senalada,General,Pozuelo / Madrid,alta,mixto,0,mixto,"comida,cena","familias,residentes",alta,0,nochebuena,regla_calendario,regla_calendario_estandar,Puede concentrar comidas de mediodia y reducir cenas fuera si el restaurante cierra o la demanda se traslada al hogar.
EVT_0016,2025-12-31,2025-12-31,Nochevieja,calendario_social,fecha_senalada,General,Pozuelo / Madrid,alta,mixto,0,mixto,"cena,noche","familias,grupos",alta,0,nochevieja,regla_calendario,regla_calendario_estandar,"Fecha con alta sensibilidad a cierres, menus especiales y reservas anticipadas."
EVT_0017,2026-01-05,2026-01-05,Gran Cabalgata de Reyes de Pozuelo,evento_local_cultural,navidad_reyes,Pozuelo,Recorrido con salida en Avenida de Europa,muy_alta,alto,3,aumenta,"tarde,cena","familias,ninos,residentes",alta,0,cabalgata_reyes_pozuelo,oficial,https://www.pozuelodealarcon.org/navidad-en-pozuelo-2025/los-reyes-magos-en-pozuelo/gran-cabalgata-de-reyes,Muy relevante por proximidad a Av. de Europa; puede aumentar trafico peatonal y dificultar movilidad.
EVT_0018,2026-01-07,2026-01-11,Vuelta de vacaciones y rebajas de enero,calendario_comercial,post_navidad,General / Madrid,Zonas comerciales y restauracion,media,bajo,1,mixto,"comida,tarde","familias,compradores",media,1,rebajas_enero,regla_modelado,regla_modelado_negocio,Rango heuristico tras Reyes; util para capturar vuelta progresiva a rutina y compras.
EVT_0019,2026-01-20,2026-01-21,Champions League 2025/26 - jornada 7,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0020,2026-01-28,2026-01-28,Champions League 2025/26 - jornada 8,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0021,2026-02-09,2026-02-13,VIII Semana de Novela Historica de Pozuelo,evento_local_cultural,literatura,Pozuelo,Cultura Pozuelo / espacios municipales,media,bajo,1,aumenta,"tarde,cena","publico_cultural,residentes",alta,0,semana_novela_historica,oficial,https://cultura.pozuelodealarcon.org/cultura-y-ocio,Evento cultural municipal; impacto esperado bajo salvo proximidad con sesiones de tarde.
EVT_0022,2026-02-10,2026-02-14,Semana especial de Carnaval en CUBO Espacio Joven,evento_local_cultural,carnaval,Pozuelo,CUBO Espacio Joven,media,bajo,1,aumenta,tarde,"jovenes,familias",alta,0,carnaval_pozuelo_cubo,oficial,https://cubo.pozuelodealarcon.org/sites/default/files/2026-02/Actividades%20Juventud%20y%20Voluntariado%20febrero%202026.pdf,Actividades juveniles 10-14 febrero; bajo impacto directo pero relevante para tarde y acompanantes.
EVT_0023,2026-02-14,2026-02-14,San Valentin,calendario_social,fecha_senalada,General,Restauracion,alta,alto,3,aumenta,"comida,cena",parejas,alta,0,san_valentin,regla_calendario,regla_calendario_estandar,Fecha clave para reservas de parejas; coincide en 2026 con sabado y carnaval.
EVT_0024,2026-02-17,2026-02-18,Champions League 2025/26 - playoff ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0025,2026-02-24,2026-02-25,Champions League 2025/26 - playoff vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0026,2026-03-10,2026-03-11,Champions League 2025/26 - octavos ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0027,2026-03-15,2026-03-15,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,media,bajo,1,aumenta,"manana,comida","familias,residentes,compradores",alta,0,mercado_segunda_vida,oficial,https://www.pozuelodealarcon.org/comercio-y-hosteleria/pozuelo-es-comercio/ferias-y-mercados/mercado-de-segunda-vida/mercado-de-segunda-vida-informacion-general,Mercado de manana en centro de Pozuelo; posible efecto en aperitivo/comida.
EVT_0028,2026-03-17,2026-03-18,Champions League 2025/26 - octavos vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0029,2026-03-19,2026-03-19,Dia del Padre,calendario_social,fecha_senalada,Espana,Restauracion,alta,medio,2,aumenta,"comida,cena",familias,alta,0,dia_padre,regla_calendario,regla_calendario_estandar,Fecha familiar relevante para comidas/cenas aunque no siempre festiva laboral en Madrid.
EVT_0030,2026-03-22,2026-03-22,Derbi Real Madrid-Atletico de Madrid,evento_deportivo_tv,futbol_laliga,Madrid / TV,Santiago Bernabeu y visionado en restaurantes,baja,alto,3,aumenta,"cena,noche","aficionados,grupos",alta,0,futbol_derbi_madrid,oficial,https://www.realmadrid.com/es-ES/noticias/futbol/primer-equipo/actualidad/el-real-madrid-atletico-se-jugara-el-domingo-22-de-marzo-a-las-21-h-24-02-2026,Real Madrid-Atletico el 22/03/2026 a las 21:00; alto potencial en cena si se emite el partido.
EVT_0031,2026-03-27,2026-04-06,Vacaciones escolares de Semana Santa,calendario_escolar,vacaciones,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,alta,mixto,0,mixto,"comida,cena","familias,residentes,visitantes",alta,0,vacaciones_escolares_semana_santa,oficial,https://www.comunidad.madrid/educacion/calendario-escolar,Periodo no lectivo de Semana Santa; puede bajar demanda laboral y subir comidas familiares/turismo local.
EVT_0032,2026-03-29,2026-03-29,Domingo de Ramos,calendario_social,semana_santa,Espana,Pozuelo / Madrid,alta,bajo,1,mixto,comida,"familias,residentes",alta,0,domingo_ramos,regla_calendario,regla_calendario_estandar,Inicio social de Semana Santa; efecto dependiente de salidas de residentes.
EVT_0033,2026-04-02,2026-04-03,Jueves Santo y Viernes Santo,calendario_social,semana_santa,Espana / Comunidad de Madrid,Pozuelo / Madrid,alta,mixto,0,mixto,"comida,cena","familias,residentes,visitantes",alta,0,jueves_viernes_santo,regla_calendario,regla_calendario_estandar,"Aunque puede estar ya en el csv de festivos, se mantiene como contexto operativo para demanda y cierres."
EVT_0034,2026-04-05,2026-04-05,Domingo de Resurreccion,calendario_social,semana_santa,Espana,Pozuelo / Madrid,alta,medio,2,aumenta,comida,familias,alta,0,domingo_resurreccion,regla_calendario,regla_calendario_estandar,Comidas familiares de fin de Semana Santa.
EVT_0035,2026-04-07,2026-04-08,Champions League 2025/26 - cuartos ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0036,2026-04-14,2026-04-15,Champions League 2025/26 - cuartos vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,medio,2,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0037,2026-04-18,2026-04-18,Feria de Abril en Pozuelo,evento_local_cultural,feria,Pozuelo,Plaza Padre Vallet,media,medio,2,aumenta,"comida,tarde,cena","familias,residentes,grupos",alta,0,feria_abril_pozuelo,oficial,https://www.pozuelodealarcon.org/agenda/feria-de-abril-en-pozuelo,Evento de 12:00 a 24:00; probable efecto en hosteleria del entorno y ocio local.
EVT_0038,2026-04-20,2026-05-03,Mutua Madrid Open,evento_deportivo_madrid,tenis,Madrid,Caja Magica,baja,bajo,1,aumenta,"comida,cena","turistas,aficionados,deporte",alta,0,tenis_madrid_open,oficial,https://mutuamadridopen.com/,Evento deportivo internacional en Madrid; efecto indirecto en restauracion de la region.
EVT_0039,2026-04-24,2026-04-26,Feria del Libro de Pozuelo,evento_local_cultural,literatura,Pozuelo,Bulevar Avenida de Europa,muy_alta,alto,3,aumenta,"manana,comida,tarde,cena","familias,residentes,publico_cultural",alta,0,feria_libro_pozuelo,oficial,https://www.pozuelodealarcon.org/oficina-de-prensa/noticias/pozuelo-de-alarcon-celebra-su-feria-del-libro-con-una-treintena-de-casetas-firmas-de-escritores-y-espectaculos-familiares,"Muy relevante por celebrarse en el Bulevar de Avenida de Europa, proximo a La Roca."
EVT_0040,2026-04-26,2026-04-26,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,media,bajo,1,aumenta,"manana,comida","familias,residentes,compradores",alta,0,mercado_segunda_vida,oficial,https://www.pozuelodealarcon.org/comercio-y-hosteleria/pozuelo-es-comercio/ferias-y-mercados/mercado-de-segunda-vida/mercado-de-segunda-vida-informacion-general,Mercado de manana en centro de Pozuelo; coincide con Feria del Libro y maraton Madrid.
EVT_0041,2026-04-26,2026-04-26,Zurich Rock n Roll Running Series Madrid,evento_deportivo_madrid,maraton,Madrid,Paseo de la Castellana / centro Madrid,baja,bajo,1,mixto,"manana,comida","deportistas,turistas,acompanantes",alta,0,maraton_madrid,oficial,https://rocknrollmadridrun.com/zurich-rock-n-roll-running-series-madrid-2026-ya-tiene-fecha-26-de-abril-de-2026/,"Evento masivo en Madrid; impacto indirecto, con posibles desajustes de movilidad en la capital."
EVT_0042,2026-04-28,2026-04-29,Champions League 2025/26 - semifinales ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,alto,3,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0043,2026-05-01,2026-05-03,Puente de Mayo,calendario_social,puente,Comunidad de Madrid,Pozuelo / Madrid,alta,medio,2,mixto,"comida,cena","familias,residentes,visitantes",alta,0,puente_mayo,regla_calendario,regla_calendario_estandar,"Viernes 1 de mayo, sabado 2 de mayo y domingo 3; puede combinar salidas y celebraciones familiares."
EVT_0044,2026-05-02,2026-06-14,Temporada de comuniones y celebraciones familiares,temporada_modelado,celebraciones_familiares,General / Madrid,Restauracion familiar,alta,medio,2,aumenta,"comida,fin_de_semana","familias,grupos",media,1,temporada_comuniones,regla_modelado,regla_modelado_negocio,Rango heuristico de fines de semana de comuniones; validar con reservas del restaurante.
EVT_0045,2026-05-03,2026-05-03,Dia de la Madre,calendario_social,fecha_senalada,Espana,Restauracion,alta,alto,3,aumenta,comida,familias,alta,0,dia_madre,regla_calendario,regla_calendario_estandar,Primer domingo de mayo; fecha muy relevante para comidas familiares.
EVT_0046,2026-05-05,2026-05-06,Champions League 2025/26 - semifinales vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,alto,3,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0047,2026-05-07,2026-05-15,Fiestas de San Isidro de Madrid,evento_madrid_cultural,fiestas_madrid,Madrid,Madrid capital,baja,bajo,1,aumenta,"tarde,cena,fin_de_semana","turistas,residentes_madrid",alta,0,san_isidro_madrid,oficial,https://diario.madrid.es/blog/2026/05/04/san-isidro-2026-madrid-programa-completo/,"Fiestas de Madrid capital; efecto indirecto en Pozuelo, especialmente fines de semana y turismo regional."
EVT_0048,2026-05-08,2026-05-10,Fiestas en honor a San Gregorio 2026,fiesta_local,fiesta_patronal_barrio,Pozuelo - Humera,Barrio de Humera / Pozuelo,media,medio,2,aumenta,"comida,tarde,cena,noche","familias,residentes,grupos",alta,0,san_gregorio_humera,oficial,https://www.pozuelodealarcon.org/fiestas-populares/fiestas-en-honor-a-san-gregorio-2026,"Programa con actividades, paella popular, conciertos, romeria y fuegos; posible arrastre local."
EVT_0049,2026-05-10,2026-05-10,El Clasico FC Barcelona-Real Madrid,evento_deportivo_tv,futbol_laliga,TV / Barcelona,Visionado en restaurantes,baja,alto,3,aumenta,"cena,noche","aficionados,grupos",alta,0,futbol_clasico_tv,oficial,https://www.dazn.com/es-ES/news/f%C3%BAtbol/barcelona-vs-real-madrid-cuando-fecha-hora-canal-tv-como-donde-ver-online-laliga-20252026/1igt9i2hcasof1h6isxk0jycb2,Barcelona-Real Madrid el 10/05/2026 a las 21:00; relevante para cenas si se emite.
EVT_0050,2026-05-22,2026-05-31,Fiesta de las Viejas de Pozuelo,fiesta_local,tradicion_local,Pozuelo,Pozuelo,media,bajo,1,aumenta,"tarde,cena","residentes,familias",baja,1,fiesta_viejas_estimada,oficial,https://www.pozuelodealarcon.org/tu-ciudad/acerca-de-pozuelo/fiestas-y-tradiciones-cultura,"La web municipal la situa a finales de mayo; sin programa 2026 exacto localizado, marcar como estimada."
EVT_0051,2026-05-24,2026-05-24,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,media,bajo,1,aumenta,"manana,comida","familias,residentes,compradores",alta,0,mercado_segunda_vida,oficial,https://www.pozuelodealarcon.org/comercio-y-hosteleria/pozuelo-es-comercio/ferias-y-mercados/mercado-de-segunda-vida/mercado-de-segunda-vida-informacion-general,Mercado de manana en centro de Pozuelo.
EVT_0052,2026-05-30,2026-05-30,Champions League 2025/26 - final,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,baja,alto,3,aumenta,"cena,noche","aficionados,grupos",alta,0,champions_league,oficial,https://www.uefa.com/uefachampionsleague/news/0296-1d21e9bdf7e4-808a7511165c-1000--2025-26-champions-league-teams-format-dates-draws-final/,"Fechas oficiales UEFA; impacto operativo depende de equipos espanoles, horario y TV en el local."
EVT_0053,2026-06-10,2026-06-19,"Fin de curso, graduaciones y ultimos dias lectivos",calendario_escolar,fin_curso,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,alta,medio,2,aumenta,"comida,tarde,cena","familias,estudiantes,profesores",alta,0,fin_curso_escolar,oficial,https://www.comunidad.madrid/educacion/calendario-escolar,Cierre de curso en muchas etapas alrededor del 19/06; puede elevar celebraciones familiares y grupos.
EVT_0054,2026-06-11,2026-07-19,Copa Mundial FIFA 2026,evento_deportivo_tv,futbol_mundial,Internacional / TV,Visionado en restaurantes,baja,medio,2,aumenta,"tarde,cena,noche","aficionados,grupos",alta,0,mundial_fifa_2026,oficial,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,"Torneo completo; impacto depende de horarios, seleccion espanola y si el local proyecta partidos."
EVT_0055,2026-06-15,2026-06-15,Mundial 2026: Espana-Cabo Verde,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,baja,medio,2,aumenta,"tarde,cena","aficionados,grupos",alta,0,mundial_espana,oficial,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/teams/spain/fixtures,Partido de Espana en fase de grupos; incluir como dummy de seleccion nacional.
EVT_0056,2026-06-19,2026-08-02,Veranos de Pozuelo 2026,evento_local_cultural,ciclo_verano,Pozuelo,"Auditorio El Torreon, Templete y otros espacios",media,medio,2,aumenta,"tarde,cena,noche","familias,residentes,publico_cultural",alta,0,veranos_pozuelo,oficial,https://cultura.pozuelodealarcon.org/cultura-y-ocio/ciclos-y-exposiciones/veranos-de-pozuelo-2026,Ciclo cultural de verano con conciertos y cine; puede reforzar tardes/noches de fin de semana.
EVT_0057,2026-06-20,2026-09-06,Vacaciones escolares de verano,calendario_escolar,vacaciones,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,alta,mixto,0,mixto,"comida,cena","familias,residentes",alta,0,vacaciones_escolares_verano,oficial,https://www.comunidad.madrid/educacion/calendario-escolar,Rango desde final de curso hasta inicio escolar 2026/27; puede reducir demanda laboral y cambiar patrones familiares.
EVT_0058,2026-06-21,2026-06-21,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,media,bajo,1,aumenta,"manana,comida","familias,residentes,compradores",alta,0,mercado_segunda_vida,oficial,https://www.pozuelodealarcon.org/comercio-y-hosteleria/pozuelo-es-comercio/ferias-y-mercados/mercado-de-segunda-vida/mercado-de-segunda-vida-informacion-general,Mercado de manana en centro de Pozuelo; coincide con inicio de verano escolar.
EVT_0059,2026-06-21,2026-06-21,Mundial 2026: Espana-Arabia Saudi,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,baja,medio,2,aumenta,"tarde,cena","aficionados,grupos",alta,0,mundial_espana,oficial,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/teams/spain/fixtures,Partido de Espana en fase de grupos; incluir como dummy de seleccion nacional.
EVT_0060,2026-06-25,2026-07-05,Orgullo Madrid / MADO 2026,evento_madrid_cultural,orgullo,Madrid,Centro de Madrid,baja,bajo,1,aumenta,"tarde,cena,noche","turistas,residentes,grupos",media,0,orgullo_madrid,oficial,https://www.togayther.es/noticias/orgullos-lgtb/orgullo-madrid-2026-programa-completo-fechas-horarios-manifestacion-mado/,Evento regional con fuerte concentracion en Madrid capital; impacto indirecto para Pozuelo.
EVT_0061,2026-06-27,2026-06-27,Mundial 2026: Uruguay-Espana,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,baja,medio,2,aumenta,noche,"aficionados,grupos",alta,0,mundial_espana,oficial,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/teams/spain/fixtures,"Partido de Espana en fase de grupos, horario nocturno segun FIFA; impacto condicionado por apertura."
EVT_0062,2026-07-08,2026-07-11,Mad Cool Festival 2026,evento_madrid_cultural,festival_musica,Madrid,Iberdrola Music / Madrid,baja,bajo,1,aumenta,"tarde,noche","turistas,jovenes,grupos",alta,0,mad_cool,oficial,https://elpais.com/cultura/2026-07-08/guia-para-mad-cool-2026-cartel-por-dias-accesos-y-lo-que-debes-saber-del-festival.html,Festival musical de gran afluencia en Madrid; impacto indirecto en hosteleria metropolitana.
EVT_0063,2026-07-12,2026-07-12,Cine de verano Pozuelo: Quien es quien,evento_local_cultural,cine_verano,Pozuelo,Auditorio El Torreon,media,bajo,1,aumenta,"cena,noche","familias,residentes",alta,0,cine_verano_pozuelo,oficial,https://www.pozuelodealarcon.org/agenda-cultural,Sesion de cine de verano; posible cena previa/posterior.
EVT_0064,2026-07-12,2026-07-12,Fiestas de Ntra. Sra. del Carmen 2026 - acto religioso y apertura,fiesta_local,fiesta_popular,Pozuelo,Parque Prados de Torrejon / Humera,media,bajo,1,aumenta,"manana,comida,tarde","familias,residentes",alta,0,carmen_pozuelo,oficial,https://www.pozuelodealarcon.org/fiestas-populares/programacion-fiestas-de-ntra-sra-del-carmen-2026,Actos iniciales del 12 de julio; impacto inferior al bloque principal de fiestas.
EVT_0065,2026-07-14,2026-07-14,Mundial 2026: semifinal Francia-Espana,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,baja,muy_alto,4,aumenta,"cena,noche","aficionados,grupos",alta,0,mundial_espana_semifinal,oficial,https://as.com/futbol/mundial/por-que-no-hay-partidos-hoy-lunes-13-de-julio-en-el-mundial-2026-y-cuando-son-las-semifinales-f202607-n/,Semifinal de Espana a las 21:00 hora espanola; potencial muy alto si se proyecta.
