event_id,event_name,event_category,event_subcategory,event_scope,event_location,expected_impact,event_intensity,demand_direction,date_confidence,event_start,event_end,event_duration_days
EVT_0018,Vuelta de vacaciones y rebajas de enero,calendario_comercial,post_navidad,General / Madrid,Zonas comerciales y restauracion,bajo,1,mixto,media,2026-01-07,2026-01-11,5
EVT_0019,Champions League 2025/26 - jornada 7,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-01-20,2026-01-21,2
EVT_0020,Champions League 2025/26 - jornada 8,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-01-28,2026-01-28,1
EVT_0021,VIII Semana de Novela Historica de Pozuelo,evento_local_cultural,literatura,Pozuelo,Cultura Pozuelo / espacios municipales,bajo,1,aumenta,alta,2026-02-09,2026-02-13,5
EVT_0022,Semana especial de Carnaval en CUBO Espacio Joven,evento_local_cultural,carnaval,Pozuelo,CUBO Espacio Joven,bajo,1,aumenta,alta,2026-02-10,2026-02-14,5
EVT_0023,San Valentin,calendario_social,fecha_senalada,General,Restauracion,alto,3,aumenta,alta,2026-02-14,2026-02-14,1
EVT_0024,Champions League 2025/26 - playoff ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-02-17,2026-02-18,2
EVT_0025,Champions League 2025/26 - playoff vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-02-24,2026-02-25,2
EVT_0026,Champions League 2025/26 - octavos ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-03-10,2026-03-11,2
EVT_0027,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,bajo,1,aumenta,alta,2026-03-15,2026-03-15,1
EVT_0028,Champions League 2025/26 - octavos vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-03-17,2026-03-18,2
EVT_0029,Dia del Padre,calendario_social,fecha_senalada,Espana,Restauracion,medio,2,aumenta,alta,2026-03-19,2026-03-19,1
EVT_0030,Derbi Real Madrid-Atletico de Madrid,evento_deportivo_tv,futbol_laliga,Madrid / TV,Santiago Bernabeu y visionado en restaurantes,alto,3,aumenta,alta,2026-03-22,2026-03-22,1
EVT_0031,Vacaciones escolares de Semana Santa,calendario_escolar,vacaciones,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,mixto,0,mixto,alta,2026-03-27,2026-04-06,11
EVT_0032,Domingo de Ramos,calendario_social,semana_santa,Espana,Pozuelo / Madrid,bajo,1,mixto,alta,2026-03-29,2026-03-29,1
EVT_0033,Jueves Santo y Viernes Santo,calendario_social,semana_santa,Espana / Comunidad de Madrid,Pozuelo / Madrid,mixto,0,mixto,alta,2026-04-02,2026-04-03,2
EVT_0034,Domingo de Resurreccion,calendario_social,semana_santa,Espana,Pozuelo / Madrid,medio,2,aumenta,alta,2026-04-05,2026-04-05,1
EVT_0035,Champions League 2025/26 - cuartos ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-04-07,2026-04-08,2
EVT_0036,Champions League 2025/26 - cuartos vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-04-14,2026-04-15,2
EVT_0037,Feria de Abril en Pozuelo,evento_local_cultural,feria,Pozuelo,Plaza Padre Vallet,medio,2,aumenta,alta,2026-04-18,2026-04-18,1
EVT_0038,Mutua Madrid Open,evento_deportivo_madrid,tenis,Madrid,Caja Magica,bajo,1,aumenta,alta,2026-04-20,2026-05-03,14
EVT_0039,Feria del Libro de Pozuelo,evento_local_cultural,literatura,Pozuelo,Bulevar Avenida de Europa,alto,3,aumenta,alta,2026-04-24,2026-04-26,3
EVT_0040,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,bajo,1,aumenta,alta,2026-04-26,2026-04-26,1
EVT_0041,Zurich Rock n Roll Running Series Madrid,evento_deportivo_madrid,maraton,Madrid,Paseo de la Castellana / centro Madrid,bajo,1,mixto,alta,2026-04-26,2026-04-26,1
EVT_0042,Champions League 2025/26 - semifinales ida,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,alto,3,aumenta,alta,2026-04-28,2026-04-29,2
EVT_0043,Puente de Mayo,calendario_social,puente,Comunidad de Madrid,Pozuelo / Madrid,medio,2,mixto,alta,2026-05-01,2026-05-03,3
EVT_0044,Temporada de comuniones y celebraciones familiares,temporada_modelado,celebraciones_familiares,General / Madrid,Restauracion familiar,medio,2,aumenta,media,2026-05-02,2026-06-14,44
EVT_0045,Dia de la Madre,calendario_social,fecha_senalada,Espana,Restauracion,alto,3,aumenta,alta,2026-05-03,2026-05-03,1
EVT_0046,Champions League 2025/26 - semifinales vuelta,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,alto,3,aumenta,alta,2026-05-05,2026-05-06,2
EVT_0047,Fiestas de San Isidro de Madrid,evento_madrid_cultural,fiestas_madrid,Madrid,Madrid capital,bajo,1,aumenta,alta,2026-05-07,2026-05-15,9
EVT_0048,Fiestas en honor a San Gregorio 2026,fiesta_local,fiesta_patronal_barrio,Pozuelo - Humera,Barrio de Humera / Pozuelo,medio,2,aumenta,alta,2026-05-08,2026-05-10,3
EVT_0049,El Clasico FC Barcelona-Real Madrid,evento_deportivo_tv,futbol_laliga,TV / Barcelona,Visionado en restaurantes,alto,3,aumenta,alta,2026-05-10,2026-05-10,1
EVT_0050,Fiesta de las Viejas de Pozuelo,fiesta_local,tradicion_local,Pozuelo,Pozuelo,bajo,1,aumenta,baja,2026-05-22,2026-05-31,10
EVT_0051,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,bajo,1,aumenta,alta,2026-05-24,2026-05-24,1
EVT_0052,Champions League 2025/26 - final,evento_deportivo_tv,futbol_champions,Europa / TV,Visionado en restaurantes,alto,3,aumenta,alta,2026-05-30,2026-05-30,1
EVT_0053,"Fin de curso, graduaciones y ultimos dias lectivos",calendario_escolar,fin_curso,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,medio,2,aumenta,alta,2026-06-10,2026-06-19,10
EVT_0054,Copa Mundial FIFA 2026,evento_deportivo_tv,futbol_mundial,Internacional / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-06-11,2026-07-19,39
EVT_0055,Mundial 2026: Espana-Cabo Verde,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-06-15,2026-06-15,1
EVT_0056,Veranos de Pozuelo 2026,evento_local_cultural,ciclo_verano,Pozuelo,"Auditorio El Torreon, Templete y otros espacios",medio,2,aumenta,alta,2026-06-19,2026-08-02,45
EVT_0057,Vacaciones escolares de verano,calendario_escolar,vacaciones,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,mixto,0,mixto,alta,2026-06-20,2026-09-06,79
EVT_0058,Mercado de Segunda Vida de Pozuelo,evento_local_comercial,mercadillo,Pozuelo,Plaza Padre Vallet / Plaza Mayor,bajo,1,aumenta,alta,2026-06-21,2026-06-21,1
EVT_0059,Mundial 2026: Espana-Arabia Saudi,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-06-21,2026-06-21,1
EVT_0060,Orgullo Madrid / MADO 2026,evento_madrid_cultural,orgullo,Madrid,Centro de Madrid,bajo,1,aumenta,media,2026-06-25,2026-07-05,11
EVT_0061,Mundial 2026: Uruguay-Espana,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,medio,2,aumenta,alta,2026-06-27,2026-06-27,1
EVT_0062,Mad Cool Festival 2026,evento_madrid_cultural,festival_musica,Madrid,Iberdrola Music / Madrid,bajo,1,aumenta,alta,2026-07-08,2026-07-11,4
EVT_0063,Cine de verano Pozuelo: Quien es quien,evento_local_cultural,cine_verano,Pozuelo,Auditorio El Torreon,bajo,1,aumenta,alta,2026-07-12,2026-07-12,1
EVT_0064,Fiestas de Ntra. Sra. del Carmen 2026 - acto religioso y apertura,fiesta_local,fiesta_popular,Pozuelo,Parque Prados de Torrejon / Humera,bajo,1,aumenta,alta,2026-07-12,2026-07-12,1
EVT_0065,Mundial 2026: semifinal Francia-Espana,evento_deportivo_tv,futbol_mundial_espana,Internacional / TV,Visionado en restaurantes,muy_alto,4,aumenta,alta,2026-07-14,2026-07-14,1
EVT_0066,Fiestas de Ntra. Sra. del Carmen 2026 - programa principal,fiesta_local,fiesta_popular,Pozuelo,Parque Prados de Torrejon / Humera,medio,2,aumenta,alta,2026-07-15,2026-07-18,4
EVT_0067,Mundial 2026: tercer puesto y final,evento_deportivo_tv,futbol_mundial,Internacional / TV,Visionado en restaurantes,alto,3,aumenta,alta,2026-07-18,2026-07-19,2
EVT_0068,Cine de verano Pozuelo: Mr. Burton,evento_local_cultural,cine_verano,Pozuelo,Auditorio El Torreon,bajo,1,aumenta,alta,2026-07-19,2026-07-19,1
EVT_0069,Cine de verano Pozuelo: Como entrenar a tu dragon,evento_local_cultural,cine_verano,Pozuelo,Auditorio El Torreon,bajo,1,aumenta,alta,2026-07-26,2026-07-26,1
EVT_0070,Cine de verano Pozuelo: Los tipos malos 2,evento_local_cultural,cine_verano,Pozuelo,Auditorio El Torreon,bajo,1,aumenta,alta,2026-08-01,2026-08-01,1
EVT_0071,Periodo agosto: vacaciones de residentes y menor actividad laboral,temporada_modelado,verano_agosto,Pozuelo / Madrid,Pozuelo,negativo_medio,-2,disminuye,media,2026-08-01,2026-08-31,31
EVT_0072,Cine de verano Pozuelo: Wolfgang,evento_local_cultural,cine_verano,Pozuelo,Auditorio El Torreon,bajo,1,aumenta,alta,2026-08-02,2026-08-02,1
EVT_0073,Puente de la Asuncion / operacion salida de agosto,calendario_social,puente_verano,Espana / Madrid,Pozuelo / Madrid,negativo_bajo,-1,disminuye,alta,2026-08-14,2026-08-16,3
EVT_0074,Vuelta de vacaciones de verano,temporada_modelado,retorno_rutina,Pozuelo / Madrid,Pozuelo,medio,2,aumenta,media,2026-09-01,2026-09-06,6
EVT_0075,Fiestas patronales de Ntra. Sra. de la Consolacion 2026,fiesta_local,fiesta_patronal,Pozuelo,Centro de Pozuelo / Plaza Padre Vallet / recinto ferial,alto,3,aumenta,media,2026-09-05,2026-09-13,9
EVT_0076,Inicio de curso escolar 2026/27,calendario_escolar,inicio_curso,Comunidad de Madrid,Pozuelo / Comunidad de Madrid,medio,2,aumenta,alta,2026-09-07,2026-09-08,2
EVT_0077,Formula 1 Gran Premio de Espana 2026 - MADRING,evento_deportivo_madrid,formula_1,Madrid,MADRING / IFEMA Madrid,medio,2,aumenta,alta,2026-09-11,2026-09-13,3
EVT_0078,XI Certamen de Pintura de Pozuelo - exposicion,evento_local_cultural,exposicion,Pozuelo,Centro Cultural MIRA,bajo,1,aumenta,alta,2026-09-16,2026-10-01,16
